Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume LSK,Volume BTC,,,,,,
1591376400,2020-06-05 05-PM,LSKBTC,7267.44186,7267.44186,7272.727273,7272.727273,7.855,0.00108,,,,,,
1591372800,2020-06-05 04-PM,LSKBTC,7267.44186,7267.44186,7267.44186,7267.44186,45.99,0.006327,,,,,,
1591369200,2020-06-05 03-PM,LSKBTC,7137.758744,7137.758744,7267.44186,7267.44186,379.13,0.05248,,,,,,
1591365600,2020-06-05 02-PM,LSKBTC,7363.77025,7137.758744,7363.77025,7137.758744,77.74,0.01072,,,,,,
1591362000,2020-06-05 01-PM,LSKBTC,7326.007326,7315.288954,7380.073801,7363.77025,53.59,0.007275,,,,,,
1591358400,2020-06-05 12-PM,LSKBTC,7380.073801,7326.007326,7380.073801,7326.007326,2.961,0.000404,,,,,,
1591354800,2020-06-05 11-AM,LSKBTC,7401.9245,7326.007326,7434.944238,7380.073801,3.107,0.0004199,,,,,,
1591351200,2020-06-05 10-AM,LSKBTC,7363.77025,7363.77025,7401.9245,7401.9245,12.94,0.001749,,,,,,
1591347600,2020-06-05 09-AM,LSKBTC,7315.288954,7220.216606,7363.77025,7363.77025,50.44,0.006923,,,,,,
1591344000,2020-06-05 08-AM,LSKBTC,7347.538575,7072.135785,7363.77025,7315.288954,370.97,0.05099,,,,,,
1591340400,2020-06-05 07-AM,LSKBTC,7446.016381,7347.538575,7547.169811,7347.538575,39.97,0.005375,,,,,,
1591336800,2020-06-05 06-AM,LSKBTC,7558.578987,7446.016381,7558.578987,7446.016381,20.23,0.002696,,,,,,
1591333200,2020-06-05 05-AM,LSKBTC,7604.562738,7496.251874,7662.835249,7558.578987,22.78,0.003008,,,,,,
1591329600,2020-06-05 04-AM,LSKBTC,7604.562738,7604.562738,7662.835249,7604.562738,14.08,0.001851,,,,,,
1591326000,2020-06-05 03-AM,LSKBTC,7722.007722,7604.562738,7722.007722,7604.562738,8.308,0.001089,,,,,,
1591322400,2020-06-05 02-AM,LSKBTC,7722.007722,7722.007722,7722.007722,7722.007722,0,0,,,,,,
1591318800,2020-06-05 01-AM,LSKBTC,7722.007722,7722.007722,7722.007722,7722.007722,0,0,,,,,,
1591315200,2020-06-05 12-AM,LSKBTC,7855.459544,7668.711656,7855.459544,7722.007722,125.59,0.01621,,,,,,
1591311600,2020-06-04 11-PM,LSKBTC,7855.459544,7855.459544,7855.459544,7855.459544,0,0,,,,,,
1591308000,2020-06-04 10-PM,LSKBTC,7855.459544,7855.459544,7855.459544,7855.459544,0,0,,,,,,
1591304400,2020-06-04 09-PM,LSKBTC,7905.13834,7855.459544,7905.13834,7855.459544,1.484,0.000189,,,,,,
1591300800,2020-06-04 08-PM,LSKBTC,7751.937984,7751.937984,7905.13834,7905.13834,14.22,0.001816,,,,,,
1591297200,2020-06-04 07-PM,LSKBTC,7751.937984,7751.937984,7751.937984,7751.937984,0,0,,,,,,
1591293600,2020-06-04 06-PM,LSKBTC,7751.937984,7751.937984,7751.937984,7751.937984,0,0,,,,,,
