Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume XRP,Volume BTC,,,,,,
1601175600,2020-09-27 03-AM,XRPBTC,44247.79,44111.16,44247.79,44150.11,49949.81,1.13,,,,,,
1601172000,2020-09-27 02-AM,XRPBTC,44208.66,44208.66,44286.98,44247.79,10374.95,0.2344,,,,,,
1601168400,2020-09-27 01-AM,XRPBTC,44286.98,44208.66,44286.98,44208.66,1789.19,0.04044,,,,,,
1601164800,2020-09-27 12-AM,XRPBTC,44404.97,44228.22,44444.44,44286.98,31938.12,0.7198,,,,,,
1601161200,2020-09-26 11-PM,XRPBTC,44483.99,44404.97,44503.78,44404.97,18494.35,0.416,,,,,,
1601157600,2020-09-26 10-PM,XRPBTC,44424.70,44404.97,44483.99,44483.99,39696.82,0.8934,,,,,,
1601154000,2020-09-26 09-PM,XRPBTC,44385.26,44208.66,44444.44,44424.70,48714.36,1.099,,,,,,
1601150400,2020-09-26 08-PM,XRPBTC,44424.70,44326.24,44424.70,44385.26,21886.56,0.4933,,,,,,
1601146800,2020-09-26 07-PM,XRPBTC,44483.99,44365.57,44483.99,44424.70,42669.53,0.9609,,,,,,
1601143200,2020-09-26 06-PM,XRPBTC,44365.57,44365.57,44483.99,44483.99,50850.21,1.143,,,,,,
1601139600,2020-09-26 05-PM,XRPBTC,44208.66,44189.13,44365.57,44365.57,55873.43,1.261,,,,,,
1601136000,2020-09-26 04-PM,XRPBTC,44365.57,44091.71,44424.70,44208.66,85842.75,1.943,,,,,,
1601132400,2020-09-26 03-PM,XRPBTC,44523.60,44306.60,44543.43,44365.57,8888.7,0.2001,,,,,,
1601128800,2020-09-26 02-PM,XRPBTC,44762.76,44424.70,44822.95,44523.60,83643.95,1.877,,,,,,
1601125200,2020-09-26 01-PM,XRPBTC,44662.80,44603.03,44782.80,44762.76,31489.58,0.7045,,,,,,
1601121600,2020-09-26 12-PM,XRPBTC,44444.44,44385.26,44702.73,44662.80,58422.33,1.311,,,,,,
1601118000,2020-09-26 11-AM,XRPBTC,44563.28,44365.57,44622.94,44444.44,33645.71,0.756,,,,,,
1601114400,2020-09-26 10-AM,XRPBTC,44444.44,44444.44,44702.73,44563.28,55859,1.253,,,,,,
1601110800,2020-09-26 09-AM,XRPBTC,44404.97,44286.98,44444.44,44444.44,3403.75,0.07666,,,,,,
1601107200,2020-09-26 08-AM,XRPBTC,44267.37,44267.37,44424.70,44404.97,13411.15,0.3023,,,,,,
1601103600,2020-09-26 07-AM,XRPBTC,44130.63,44052.86,44306.60,44267.37,4820.61,0.1093,,,,,,
1601100000,2020-09-26 06-AM,XRPBTC,44033.47,43936.73,44130.63,44130.63,29467.6,0.6695,,,,,,
1601096400,2020-09-26 05-AM,XRPBTC,44014.08,43975.37,44111.16,44033.47,71256.75,1.618,,,,,,
1601092800,2020-09-26 04-AM,XRPBTC,43898.16,43878.89,44052.86,44014.08,106068.62,2.411,,,,,,
1601089200,2020-09-26 03-AM,XRPBTC,43821.21,43649.06,43898.16,43898.16,28990.29,0.662,,,,,,
1601085600,2020-09-26 02-AM,XRPBTC,43859.65,43802.01,44014.08,43821.21,20540.62,0.468,,,,,,
1601082000,2020-09-26 01-AM,XRPBTC,43878.89,43668.12,43956.04,43859.65,387329.27,8.859,,,,,,
